('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         955271 function calls (930985 primitive calls) in 2.643 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      348    1.678    0.005    1.678    0.005 {method 'read' of '_ssl._SSLSocket' objects}
      863    0.200    0.000    0.200    0.000 {built-in method posix.stat}
        1    0.086    0.086    0.086    0.086 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.084    0.084    0.084    0.084 {method 'connect' of '_socket.socket' objects}
      164    0.058    0.000    0.058    0.000 {built-in method _io.open_code}
     4116    0.026    0.000    0.134    0.000 parser.py:320(parse_starttag)
      229    0.025    0.000    0.432    0.002 {method 'read' of '_io.BufferedReader' objects}
      164    0.024    0.000    0.024    0.000 {method '__exit__' of '_io._IOBase' objects}
    37072    0.020    0.000    0.020    0.000 {method 'match' of 're.Pattern' objects}
        1    0.020    0.020    0.020    0.020 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.019    0.019    0.019    0.019 {built-in method _socket.getaddrinfo}
 4765/203    0.019    0.000    0.055    0.000 _parser.py:512(_parse)
        2    0.017    0.009    0.222    0.111 parser.py:135(goahead)
 5525/195    0.012    0.000    0.029    0.000 _compiler.py:37(_compile)
      164    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
     4116    0.010    0.000    0.016    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
       20    0.010    0.001    0.010    0.001 {built-in method posix.listdir}
     4116    0.010    0.000    0.058    0.000 __init__.py:990(handle_starttag)
    96294    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
     8574    0.008    0.000    0.033    0.000 __init__.py:829(endData)
     4116    0.007    0.000    0.037    0.000 _htmlparser.py:204(handle_endtag)
     4117    0.007    0.000    0.027    0.000 element.py:1813(__init__)
75775/69462    0.007    0.000    0.008    0.000 {built-in method builtins.len}
     3752    0.007    0.000    0.048    0.000 parser.py:398(parse_endtag)
     4116    0.007    0.000    0.068    0.000 _htmlparser.py:142(handle_starttag)
      9/7    0.007    0.001    0.009    0.001 {built-in method _imp.create_dynamic}
    12297    0.007    0.000    0.007    0.000 element.py:382(setup)
66334/66324    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
    26424    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
    29621    0.006    0.000    0.009    0.000 _parser.py:168(__getitem__)
  545/540    0.005    0.000    0.049    0.000 {built-in method builtins.__build_class__}
    14876    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     4090    0.005    0.000    0.011    0.000 __init__.py:870(object_was_parsed)
     4115    0.005    0.000    0.009    0.000 __init__.py:953(_popToTag)
      260    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
 1276/195    0.005    0.000    0.056    0.000 _parser.py:452(_parse_sub)
    16149    0.004    0.000    0.008    0.000 _markupbase.py:44(updatepos)
      904    0.004    0.000    0.007    0.000 _compiler.py:243(_optimize_charset)
     4090    0.004    0.000    0.008    0.000 element.py:1478(__new__)
     4117    0.004    0.000    0.005    0.000 __init__.py:812(pushTag)
 5473/377    0.004    0.000    0.007    0.000 _parser.py:178(getwidth)
    27206    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
4824/4794    0.004    0.000    0.005    0.000 {built-in method __new__ of type object at 0xa43b40}
    16725    0.004    0.000    0.006    0.000 _parser.py:261(get)
     7743    0.004    0.000    0.005    0.000 __init__.py:91(_replace_charref)
     1203    0.003    0.000    0.009    0.000 {method 'sub' of 're.Pattern' objects}
    22912    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
    12036    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
     4090    0.003    0.000    0.006    0.000 __init__.py:735(string_container)
    25549    0.003    0.000    0.003    0.000 _parser.py:240(__next)
        1    0.003    0.003    0.034    0.034 dammit.py:128(_populate_class_variables)
     4116    0.003    0.000    0.003    0.000 __init__.py:789(popTag)
    22813    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
9214/9187    0.003    0.000    0.008    0.000 typing.py:392(inner)
    17738    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
     4116    0.003    0.000    0.009    0.000 parser.py:364(check_for_whole_start_tag)
     4115    0.003    0.000    0.030    0.000 __init__.py:1056(handle_endtag)
      413    0.002    0.000    0.150    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
       40    0.002    0.000    0.014    0.000 filter.py:130(filter)
     2476    0.002    0.000    0.003    0.000 __init__.py:909(_linkage_fixer)
    13235    0.002    0.000    0.003    0.000 _parser.py:256(match)
    14577    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     8244    0.002    0.000    0.009    0.000 filter.py:726(match)
     3214    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
    12554    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
      164    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     2214    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
7614/7546    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
      316    0.002    0.000    0.096    0.000 __init__.py:280(_compile)
     7498    0.002    0.000    0.002    0.000 _parser.py:176(append)
     4133    0.002    0.000    0.006    0.000 filter.py:540(matches_tag)
        1    0.002    0.002    0.002    0.002 models.py:909(text)
     9757    0.002    0.000    0.010    0.000 __init__.py:122(unescape)
      496    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
     3989    0.001    0.000    0.003    0.000 _htmlparser.py:222(handle_data)
     4116    0.001    0.000    0.002    0.000 element.py:2007(is_empty_element)
     8260    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     8604    0.001    0.000    0.005    0.000 {built-in method builtins.next}
     7370    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       16    0.001    0.000    0.003    0.000 enum.py:1708(convert_class)
      214    0.001    0.000    0.166    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
      807    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      123    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
     4160    0.001    0.000    0.002    0.000 __init__.py:1068(handle_data)
      164    0.001    0.000    0.176    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
     8258    0.001    0.000    0.001    0.000 element.py:3090(descendants)
     7048    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      261    0.001    0.000    0.006    0.000 response.py:137(decompress)
    13129    0.001    0.000    0.001    0.000 typing.py:2154(cast)
      713    0.001    0.000    0.004    0.000 filter.py:618(_attribute_match)
     9239    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     4311    0.001    0.000    0.001    0.000 _parser.py:293(tell)
        9    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      258    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
    217/3    0.001    0.000    0.499    0.166 <frozen importlib._bootstrap>:1349(_find_and_load)
     6199    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
       20    0.001    0.000    0.415    0.021 {method 'join' of 'bytes' objects}
      328    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      268    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
     4507    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     4117    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
      904    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     3508    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
    166/1    0.001    0.000    2.643    2.643 {built-in method builtins.exec}
       53    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
      195    0.001    0.000    0.006    0.000 _compiler.py:511(_compile_info)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
