('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         980119 function calls (955508 primitive calls) in 2.875 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    91831    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
73541/67058    0.007    0.000    0.008    0.000 {built-in method builtins.len}
68967/68927    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
    37210    0.020    0.000    0.020    0.000 {method 'match' of 're.Pattern' objects}
    28326    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
    26722    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
    26322    0.005    0.000    0.007    0.000 _parser.py:168(__getitem__)
    22813    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
    22151    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
    20646    0.003    0.000    0.003    0.000 _parser.py:240(__next)
    18484    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
    16149    0.004    0.000    0.008    0.000 _markupbase.py:44(updatepos)
    14852    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
    13582    0.002    0.000    0.002    0.000 {built-in method builtins.min}
    13421    0.001    0.000    0.001    0.000 typing.py:2154(cast)
    12934    0.003    0.000    0.005    0.000 _parser.py:261(get)
    12297    0.007    0.000    0.007    0.000 element.py:382(setup)
    12030    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
    11335    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
    10634    0.002    0.000    0.003    0.000 _parser.py:256(match)
10514/10513    0.002    0.000    0.006    0.000 {built-in method builtins.next}
     9757    0.001    0.000    0.010    0.000 __init__.py:122(unescape)
9526/9487    0.003    0.000    0.013    0.000 typing.py:392(inner)
     8574    0.008    0.000    0.039    0.000 __init__.py:829(endData)
     8551    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
     8270    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     8260    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     8258    0.001    0.000    0.001    0.000 element.py:3090(descendants)
     8256    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     8244    0.002    0.000    0.009    0.000 filter.py:726(match)
     7743    0.003    0.000    0.005    0.000 __init__.py:91(_replace_charref)
     7667    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     6922    0.001    0.000    0.002    0.000 _parser.py:176(append)
     5850    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
