('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         962078 function calls (937808 primitive calls) in 7.619 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.000    5.000    5.000    5.000 {built-in method time.sleep}
      355    1.637    0.005    1.637    0.005 {method 'read' of '_ssl._SSLSocket' objects}
      863    0.203    0.000    0.203    0.000 {built-in method posix.stat}
        1    0.082    0.082    0.082    0.082 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.081    0.081    0.081    0.081 {method 'connect' of '_socket.socket' objects}
      164    0.058    0.000    0.058    0.000 {built-in method _io.open_code}
        1    0.034    0.034    0.034    0.034 {built-in method _socket.getaddrinfo}
     4190    0.026    0.000    0.136    0.000 parser.py:320(parse_starttag)
      164    0.024    0.000    0.024    0.000 {method '__exit__' of '_io._IOBase' objects}
      232    0.024    0.000    0.417    0.002 {method 'read' of '_io.BufferedReader' objects}
        1    0.021    0.021    0.021    0.021 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    37702    0.021    0.000    0.021    0.000 {method 'match' of 're.Pattern' objects}
 4765/203    0.019    0.000    0.055    0.000 _parser.py:512(_parse)
        2    0.018    0.009    0.224    0.112 parser.py:135(goahead)
 5525/195    0.012    0.000    0.028    0.000 _compiler.py:37(_compile)
      164    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
     4190    0.011    0.000    0.016    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
       20    0.010    0.001    0.010    0.001 {built-in method posix.listdir}
     4190    0.010    0.000    0.059    0.000 __init__.py:990(handle_starttag)
    96615    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
    12373    0.008    0.000    0.008    0.000 element.py:382(setup)
     8730    0.008    0.000    0.034    0.000 __init__.py:829(endData)
     4190    0.007    0.000    0.038    0.000 _htmlparser.py:204(handle_endtag)
     4191    0.007    0.000    0.028    0.000 element.py:1813(__init__)
76030/69733    0.007    0.000    0.008    0.000 {built-in method builtins.len}
     4190    0.007    0.000    0.069    0.000 _htmlparser.py:142(handle_starttag)
      9/7    0.007    0.001    0.009    0.001 {built-in method _imp.create_dynamic}
     3824    0.007    0.000    0.048    0.000 parser.py:398(parse_endtag)
66467/66457    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
    26515    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
    29605    0.006    0.000    0.009    0.000 _parser.py:168(__getitem__)
     4091    0.005    0.000    0.012    0.000 __init__.py:870(object_was_parsed)
  545/540    0.005    0.000    0.050    0.000 {built-in method builtins.__build_class__}
    15186    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     4189    0.005    0.000    0.010    0.000 __init__.py:953(_popToTag)
      268    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
 1276/195    0.005    0.000    0.056    0.000 _parser.py:452(_parse_sub)
    16449    0.004    0.000    0.008    0.000 _markupbase.py:44(updatepos)
      904    0.004    0.000    0.007    0.000 _compiler.py:243(_optimize_charset)
    27540    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     4191    0.004    0.000    0.005    0.000 __init__.py:812(pushTag)
 5473/377    0.004    0.000    0.007    0.000 _parser.py:178(getwidth)
     4091    0.004    0.000    0.008    0.000 element.py:1478(__new__)
    16725    0.004    0.000    0.006    0.000 _parser.py:261(get)
    12183    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
4825/4795    0.003    0.000    0.004    0.000 {built-in method __new__ of type object at 0xa43b40}
    23314    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
     7502    0.003    0.000    0.005    0.000 __init__.py:91(_replace_charref)
     1192    0.003    0.000    0.008    0.000 {method 'sub' of 're.Pattern' objects}
     4091    0.003    0.000    0.005    0.000 __init__.py:735(string_container)
    25549    0.003    0.000    0.003    0.000 _parser.py:240(__next)
