Sat Feb  7 17:53:32 2026    profile_http.prof

         415863 function calls (393293 primitive calls) in 0.492 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      637    0.215    0.000    0.215    0.000 {built-in method posix.stat}
      136    0.053    0.000    0.053    0.000 {built-in method _io.open_code}
      136    0.024    0.000    0.024    0.000 {method '__exit__' of '_io._IOBase' objects}
      135    0.017    0.000    0.017    0.000 {method 'read' of '_io.BufferedReader' objects}
 4586/231    0.017    0.000    0.047    0.000 /usr/lib/python3.12/re/_parser.py:512(_parse)
      134    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
 5107/193    0.011    0.000    0.024    0.000 /usr/lib/python3.12/re/_compiler.py:37(_compile)
       14    0.009    0.001    0.009    0.001 {built-in method posix.listdir}
      8/6    0.007    0.001    0.009    0.001 {built-in method _imp.create_dynamic}
57264/51458    0.005    0.000    0.006    0.000 {built-in method builtins.len}
  555/551    0.005    0.000    0.050    0.000 {built-in method builtins.__build_class__}
    63593    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
    26204    0.005    0.000    0.007    0.000 /usr/lib/python3.12/re/_parser.py:168(__getitem__)
 1135/193    0.004    0.000    0.048    0.000 /usr/lib/python3.12/re/_parser.py:452(_parse_sub)
      693    0.004    0.000    0.006    0.000 /usr/lib/python3.12/re/_compiler.py:243(_optimize_charset)
 5045/377    0.004    0.000    0.006    0.000 /usr/lib/python3.12/re/_parser.py:178(getwidth)
    36346    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
    13170    0.003    0.000    0.004    0.000 /usr/lib/python3.12/re/_parser.py:261(get)
    20761    0.003    0.000    0.003    0.000 /usr/lib/python3.12/re/_parser.py:240(__next)
        1    0.002    0.002    0.034    0.034 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/bs4/dammit.py:128(_populate_class_variables)
      496    0.002    0.000    0.003    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_types.py:41(__init__)
    13543    0.002    0.000    0.002    0.000 {built-in method builtins.min}
    11302    0.002    0.000    0.003    0.000 /usr/lib/python3.12/re/_parser.py:164(__len__)
    10598    0.002    0.000    0.003    0.000 /usr/lib/python3.12/re/_parser.py:256(match)
      287    0.002    0.000    0.160    0.001 <frozen importlib._bootstrap_external>:1593(find_spec)
