Sat Feb  7 17:39:51 2026    profile_sleep.prof

         470768 function calls (446134 primitive calls) in 1.073 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      188    0.554    0.003    0.554    0.003 {built-in method _io.open_code}
      876    0.226    0.000    0.226    0.000 {built-in method posix.stat}
      187    0.028    0.000    0.028    0.000 {method 'read' of '_io.BufferedReader' objects}
      188    0.027    0.000    0.027    0.000 {method '__exit__' of '_io._IOBase' objects}
      9/7    0.025    0.003    0.034    0.005 {built-in method _imp.create_dynamic}
 4802/209    0.020    0.000    0.056    0.000 /usr/lib/python3.12/re/_parser.py:512(_parse)
      186    0.015    0.000    0.015    0.000 {built-in method marshal.loads}
       24    0.013    0.001    0.013    0.001 {built-in method posix.listdir}
 5577/201    0.012    0.000    0.028    0.000 /usr/lib/python3.12/re/_compiler.py:37(_compile)
  670/664    0.007    0.000    0.055    0.000 {built-in method builtins.__build_class__}
63299/56943    0.006    0.000    0.007    0.000 {built-in method builtins.len}
    70040    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
    29853    0.006    0.000    0.008    0.000 /usr/lib/python3.12/re/_parser.py:168(__getitem__)
 1303/201    0.005    0.000    0.056    0.000 /usr/lib/python3.12/re/_parser.py:452(_parse_sub)
      928    0.004    0.000    0.007    0.000 /usr/lib/python3.12/re/_compiler.py:243(_optimize_charset)
    17230    0.004    0.000    0.006    0.000 /usr/lib/python3.12/re/_parser.py:261(get)
 5524/394    0.004    0.000    0.006    0.000 /usr/lib/python3.12/re/_parser.py:178(getwidth)
    39779    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
    26142    0.003    0.000    0.003    0.000 /usr/lib/python3.12/re/_parser.py:240(__next)
        1    0.003    0.003    0.033    0.033 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/bs4/dammit.py:128(_populate_class_variables)
      378    0.002    0.000    0.173    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
    13477    0.002    0.000    0.003    0.000 /usr/lib/python3.12/re/_parser.py:256(match)
    12646    0.002    0.000    0.003    0.000 /usr/lib/python3.12/re/_parser.py:164(__len__)
    14611    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     2064    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       67    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
     7538    0.002    0.000    0.002    0.000 /usr/lib/python3.12/re/_parser.py:176(append)
  862/795    0.002    0.000    0.003    0.000 {built-in method __new__ of type object at 0xa43b40}
      265    0.002    0.000    0.095    0.000 /usr/lib/python3.12/re/__init__.py:280(_compile)
      496    0.002    0.000    0.002    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_types.py:41(__init__)
      311    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       19    0.001    0.000    0.003    0.000 /usr/lib/python3.12/enum.py:1708(convert_class)
      245    0.001    0.000    0.191    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
      186    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      311    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
      187    0.001    0.000    0.692    0.004 <frozen importlib._bootstrap_external>:1062(get_code)
       28    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      129    0.001    0.000    0.002    0.000 /usr/lib/python3.12/re/_compiler.py:467(_get_charset_prefix)
      311    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:304(acquire)
     2872    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
    248/1    0.001    0.000    1.073    1.073 <frozen importlib._bootstrap>:1349(_find_and_load)
       28    0.001    0.000    0.003    0.000 /usr/lib/python3.12/collections/__init__.py:355(namedtuple)
    190/1    0.001    0.000    1.073    1.073 {built-in method builtins.exec}
     4399    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:293(tell)
      374    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     6401    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        9    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
     9197    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     6069    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      276    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_compiler.py:386(_mk_bitmap)
     6257    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:113(__init__)
      928    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_compiler.py:216(_compile_charset)
     4309    0.001    0.000    0.001    0.000 {built-in method builtins.max}
    247/1    0.001    0.000    1.073    1.073 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
2755/2687    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {built-in method posix.replace}
      341    0.001    0.000    0.003    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:1108(selector_iter)
     1107    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:312(_class_escape)
     1190    0.001    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1188(__setattr__)
      201    0.001    0.000    0.006    0.000 /usr/lib/python3.12/re/_compiler.py:511(_compile_info)
     3814    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     3449    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        1    0.001    0.001    0.001    0.001 /usr/lib/python3.12/zipfile/_path/__init__.py:189(Path)
      327    0.001    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:175(_type_check)
     1385    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:172(__setitem__)
      311    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      201    0.001    0.000    0.092    0.000 /usr/lib/python3.12/re/_compiler.py:740(compile)
      222    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      398    0.001    0.000    0.002    0.000 /usr/lib/python3.12/enum.py:1562(__and__)
     4502    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      354    0.001    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:1185(__init__)
      219    0.001    0.000    0.188    0.001 <frozen importlib._bootstrap_external>:1491(_get_spec)
    222/1    0.001    0.000    1.072    1.072 <frozen importlib._bootstrap>:911(_load_unlocked)
      968    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:449(_uniq)
      188    0.001    0.000    0.610    0.003 <frozen importlib._bootstrap_external>:1183(get_data)
    56/16    0.001    0.000    0.010    0.001 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:925(parse_selectors)
     4117    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     1476    0.001    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:1544(_get_value)
     3414    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      813    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:372(_escape)
      196    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
    505/3    0.000    0.000    1.069    0.356 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       10    0.000    0.000    0.003    0.000 /usr/lib/python3.12/enum.py:919(_convert_)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
     2585    0.000    0.000    0.001    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:317(match)
      148    0.000    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:1242(__init__)
      201    0.000    0.000    0.057    0.000 /usr/lib/python3.12/re/_parser.py:969(parse)
      376    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1274    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1134(_is_dunder)
       24    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       56    0.000    0.000    0.002    0.000 /usr/lib/python3.12/enum.py:254(__set_name__)
     1497    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     2190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1037    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      520    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:850(__setattr__)
     1989    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
    187/1    0.000    0.000    1.072    1.072 <frozen importlib._bootstrap_external>:989(exec_module)
     1018    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_compiler.py:398(_simple)
       79    0.000    0.000    0.003    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:472(parse_attribute_selector)
      311    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
      876    0.000    0.000    0.226    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      186    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       35    0.000    0.000    0.003    0.000 /usr/lib/python3.12/enum.py:528(__new__)
     1510    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      111    0.000    0.000    0.001    0.000 /usr/lib/python3.12/functools.py:35(update_wrapper)
      558    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      150    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:390(__setitem__)
  222/218    0.000    0.000    0.038    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       34    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       20    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      196    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/html/entities.py:1(<module>)
      245    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
      201    0.000    0.000    0.034    0.000 /usr/lib/python3.12/re/_compiler.py:573(_code)
       67    0.000    0.000    0.003    0.000 /usr/lib/python3.12/typing.py:687(Union)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
  282/254    0.000    0.000    0.005    0.000 /usr/lib/python3.12/typing.py:392(inner)
      497    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:726(__call__)
      412    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:265(getwhile)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
  222/183    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:436(_get_literal_prefix)
      142    0.000    0.000    0.000    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:369(__init__)
      201    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     1486    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      196    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
  774/708    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
  142/137    0.000    0.000    0.002    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:395(freeze)
      186    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       24    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      764    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      287    0.000    0.000    0.092    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      245    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.000    0.000    0.000    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/idna/idnadata.py:1(<module>)
     1486    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       66    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      930    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
  188/185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      247    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:416(__enter__)
      467    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:79(_is_private)
      192    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1147(__init__)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      469    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      468    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      930    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      752    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    0.041    0.041 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/requests/packages.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/opcode.py:1(<module>)
     1655    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        6    0.000    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:2780(__new__)
      497    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1129(__new__)
      245    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       85    0.000    0.000    0.001    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/typing_extensions.py:3228(_collect_parameters)
      322    0.000    0.000    0.000    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:248(css_unescape)
      781    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:83(groups)
      184    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:86(opengroup)
      485    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:48(_is_dunder)
      324    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      219    0.000    0.000    0.189    0.001 <frozen importlib._bootstrap_external>:1520(find_spec)
       66    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.001    0.001 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/charset_normalizer/constant.py:1(<module>)
       67    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:345(_remove_dups_flatten)
      383    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      623    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      455    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      820    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      346    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:166(_type_convert)
      262    0.000    0.000    0.086    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       53    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1449(__getitem__)
      187    0.000    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      142    0.000    0.000    0.001    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_types.py:203(__init__)
      766    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      245    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      375    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:38(_is_descriptor)
       86    0.000    0.000    0.000    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:812(parse_combinator)
      866    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.12/typing.py:1(<module>)
      580    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       94    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1551(__or__)
       63    0.000    0.000    0.000    0.000 /usr/lib/python3.12/functools.py:518(decorating_function)
      201    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:231(__init__)
        1    0.000    0.000    0.001    0.001 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/typing_extensions.py:1(<module>)
      467    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:59(_is_sunder)
    85/51    0.000    0.000    0.368    0.007 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      221    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
      285    0.000    0.000    0.000    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:344(match)
      199    0.000    0.000    0.001    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_types.py:360(__init__)
       85    0.000    0.000    0.000    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
      390    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      247    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/locale.py:1(<module>)
      263    0.000    0.000    0.095    0.000 /usr/lib/python3.12/re/__init__.py:226(compile)
